name,danceability,energy,acousticness,liveness,valence
Lavender Haze,0.735,0.444,0.204,0.17,0.0984
Maroon,0.658,0.378,0.0593,0.0976,0.0382
Anti-Hero,0.638,0.634,0.133,0.152,0.519
Snow On The Beach,0.659,0.323,0.735,0.116,0.154
"You're On Your Own, Kid",0.694,0.38,0.416,0.126,0.376
Midnight Rain,0.636,0.377,0.71,0.115,0.23
Question...?,0.751,0.502,0.226,0.297,0.112
Vigilante Shit,0.87,0.279,0.16,0.121,0.16
Bejeweled,0.7,0.55,0.0661,0.091,0.412
Labyrinth,0.487,0.313,0.791,0.124,0.141
Karma,0.649,0.622,0.074,0.594,0.106
Sweet Nothing,0.334,0.161,0.967,0.115,0.396
Mastermind,0.661,0.352,0.571,0.0884,0.13
The Great War,0.573,0.741,0.219,0.0842,0.554
Bigger Than The Whole Sky,0.422,0.235,0.826,0.115,0.068
Paris,0.7,0.509,0.112,0.137,0.345
High Infidelity,0.646,0.529,0.723,0.0885,0.755
Glitch,0.675,0.466,0.361,0.11,0.347
"Would've, Could've, Should've",0.483,0.84,0.43,0.146,0.55
Dear Reader,0.562,0.388,0.481,0.117,0.159